3/1/2012,92
3/2/2012,93
3/3/2012,70
3/4/2012,63
3/5/2012,83
3/6/2012,106
3/7/2012,84
3/8/2012,87
3/9/2012,96
3/10/2012,61
3/11/2012,77
3/12/2012,96
3/13/2012,84
3/14/2012,112
3/15/2012,107
3/16/2012,92
3/17/2012,75
3/18/2012,84
3/19/2012,96
3/20/2012,97
3/21/2012,98
3/22/2012,83
3/23/2012,95
3/24/2012,86
3/25/2012,72
3/26/2012,85
3/27/2012,99
3/28/2012,76
3/29/2012,83
3/30/2012,75
3/31/2012,85
4/1/2012,84
4/2/2012,90
4/3/2012,90
4/4/2012,84
4/5/2012,95
4/6/2012,75
4/7/2012,86
4/8/2012,66
4/9/2012,111
4/10/2012,81
4/11/2012,91
4/12/2012,78
4/13/2012,93
4/14/2012,79
4/15/2012,71
4/16/2012,72
4/17/2012,98
4/18/2012,80
4/19/2012,77
4/20/2012,83
4/21/2012,66
4/22/2012,74
4/23/2012,101
4/24/2012,83
4/25/2012,94
4/26/2012,79
4/27/2012,67
4/28/2012,70
4/29/2012,74
4/30/2012,110
5/1/2012,89
5/2/2012,69
5/3/2012,78
5/4/2012,75
5/5/2012,64
5/6/2012,60
5/7/2012,88
5/8/2012,86
5/9/2012,82
5/10/2012,67
5/11/2012,66
5/12/2012,79
5/13/2012,78
5/14/2012,102
5/15/2012,75
5/16/2012,73
5/17/2012,73
5/18/2012,84
5/19/2012,80
5/20/2012,87
5/21/2012,92
5/22/2012,65
5/23/2012,89
5/24/2012,76
5/25/2012,83
5/26/2012,73
5/27/2012,71
5/28/2012,82
5/29/2012,101
5/30/2012,92
5/31/2012,100
6/1/2012,79
6/2/2012,67
6/3/2012,69
6/4/2012,94
6/5/2012,81
6/6/2012,92
6/7/2012,94
6/8/2012,97
6/9/2012,86
6/10/2012,71
6/11/2012,90
6/12/2012,90
6/13/2012,99
6/14/2012,89
6/15/2012,78
6/16/2012,71
6/17/2012,81
6/18/2012,90
6/19/2012,92
6/20/2012,89
6/21/2012,94
6/22/2012,86
6/23/2012,85
6/24/2012,86
6/25/2012,105
6/26/2012,84
6/27/2012,98
6/28/2012,81
6/29/2012,75
6/30/2012,78
7/1/2012,72
7/2/2012,92
7/3/2012,101
7/4/2012,66
7/5/2012,91
7/6/2012,105
7/7/2012,67
7/8/2012,84
7/9/2012,103
7/10/2012,100
7/11/2012,95
7/12/2012,104
7/13/2012,92
7/14/2012,69
