1/6/2013,3
1/7/2013,7
1/8/2013,6
1/9/2013,5
1/10/2013,10
1/11/2013,5
1/12/2013,5
1/13/2013,1
1/14/2013,3
1/15/2013,4
1/16/2013,5
1/17/2013,6
1/18/2013,6
1/19/2013,2
1/20/2013,2
1/21/2013,5
1/22/2013,5
1/23/2013,7
1/24/2013,4
1/25/2013,2
1/26/2013,3
1/27/2013,2
1/28/2013,7
1/29/2013,6
1/30/2013,4
1/31/2013,6
2/1/2013,8
2/2/2013,5
2/3/2013,1
2/4/2013,2
2/5/2013,2
2/6/2013,4
2/7/2013,10
2/8/2013,6
2/9/2013,3
2/10/2013,5
2/11/2013,11
2/12/2013,9
2/13/2013,8
2/14/2013,4
2/15/2013,10
2/16/2013,1
2/17/2013,3
2/18/2013,6
2/19/2013,11
2/20/2013,4
2/21/2013,4
2/22/2013,2
2/23/2013,3
2/24/2013,3
2/25/2013,10
2/26/2013,7
2/27/2013,8
2/28/2013,6
3/1/2013,8
3/2/2013,5
3/3/2013,8
3/4/2013,7
3/5/2013,8
3/6/2013,12
3/7/2013,15
3/8/2013,9
3/9/2013,9
3/10/2013,5
3/11/2013,10
3/12/2013,11
3/13/2013,12
3/14/2013,18
3/15/2013,9
3/16/2013,9
3/17/2013,5
3/18/2013,11
3/19/2013,13
3/20/2013,9
3/21/2013,5
3/22/2013,11
3/23/2013,13
3/24/2013,17
3/25/2013,9
3/26/2013,5
3/27/2013,9
3/28/2013,7
3/29/2013,3
3/30/2013,5
3/31/2013,8
4/1/2013,9
4/2/2013,7
4/3/2013,10
4/4/2013,7
4/5/2013,6
4/6/2013,10
4/7/2013,3
4/8/2013,11
4/9/2013,15
4/10/2013,10
4/11/2013,6
4/12/2013,8
4/13/2013,2
4/14/2013,8
4/15/2013,8
4/16/2013,8
4/17/2013,9
4/18/2013,11
4/19/2013,6
4/20/2013,4
4/21/2013,4
4/22/2013,10
4/23/2013,7
4/24/2013,7
4/25/2013,5
4/26/2013,9
4/27/2013,8
4/28/2013,8
4/29/2013,13
4/30/2013,13
5/1/2013,11
5/2/2013,11
5/3/2013,9
5/4/2013,5
5/5/2013,4
5/6/2013,7
5/7/2013,9
5/8/2013,10
5/9/2013,13
5/10/2013,9
5/11/2013,4
5/12/2013,7
5/13/2013,10
5/14/2013,6
5/15/2013,8
5/16/2013,10
5/17/2013,12
5/18/2013,7
5/19/2013,3
5/20/2013,8
5/21/2013,6
5/22/2013,8
5/23/2013,1
5/24/2013,8
5/25/2013,8
5/26/2013,5
5/27/2013,3
5/28/2013,6
5/29/2013,7
5/30/2013,9
5/31/2013,7
6/1/2013,9
6/2/2013,7
6/3/2013,7
6/4/2013,4
6/5/2013,7
6/6/2013,9
6/7/2013,7
6/8/2013,4
6/9/2013,5
6/10/2013,6
6/11/2013,8
6/12/2013,7
6/13/2013,8
6/14/2013,6
6/15/2013,12
6/16/2013,4
6/17/2013,10
6/18/2013,12
6/19/2013,5
6/20/2013,6
6/21/2013,11
6/22/2013,8
6/23/2013,5
6/24/2013,4
6/25/2013,8
6/26/2013,4
6/27/2013,12
6/28/2013,13
6/29/2013,16
6/30/2013,10
7/1/2013,13
7/2/2013,11
7/3/2013,15
7/4/2013,7
7/5/2013,9
7/6/2013,9
7/7/2013,4
7/8/2013,19
7/9/2013,6
7/10/2013,13
7/11/2013,9
7/12/2013,8
7/13/2013,4
7/14/2013,7
7/15/2013,5
7/16/2013,7
7/17/2013,13
7/18/2013,9
7/19/2013,11
7/20/2013,3
7/21/2013,12
7/22/2013,9
7/23/2013,7
7/24/2013,7
7/25/2013,11
7/26/2013,8
7/27/2013,7
7/28/2013,13
7/29/2013,25
7/30/2013,8
7/31/2013,8
8/1/2013,10
8/2/2013,18
8/3/2013,9
8/4/2013,6
8/5/2013,15
8/6/2013,10
8/7/2013,10
8/8/2013,4
8/9/2013,11
8/10/2013,8
8/11/2013,9
8/12/2013,7
8/13/2013,12
8/14/2013,12
8/15/2013,5
8/16/2013,17
8/17/2013,16
8/18/2013,6
8/19/2013,6
8/20/2013,4
8/21/2013,6
8/22/2013,14
8/23/2013,13
8/24/2013,8
8/25/2013,6
8/26/2013,15
8/27/2013,10
8/28/2013,10
8/29/2013,4
8/30/2013,12
8/31/2013,7
9/1/2013,7
9/2/2013,8
9/3/2013,16
9/4/2013,11
9/5/2013,11
9/6/2013,11
9/7/2013,23
9/8/2013,3
9/9/2013,13
9/10/2013,10
9/11/2013,13
9/12/2013,11
9/13/2013,9
9/14/2013,7
9/15/2013,9
9/16/2013,12
9/17/2013,11
9/18/2013,10
9/19/2013,15
9/20/2013,9
9/21/2013,8
9/22/2013,10
9/23/2013,10
9/24/2013,13
9/25/2013,13
9/26/2013,10
9/27/2013,6
9/28/2013,12
9/29/2013,8
9/30/2013,11
10/1/2013,9
10/2/2013,16
10/3/2013,9
10/4/2013,12
10/5/2013,10
10/6/2013,10
10/7/2013,10
10/8/2013,8
10/9/2013,6
10/10/2013,9
10/11/2013,13
10/12/2013,6
10/13/2013,3
10/14/2013,10
10/15/2013,10
10/16/2013,8
10/17/2013,8
10/18/2013,7
10/19/2013,10
10/20/2013,7
10/21/2013,8
10/22/2013,13
10/23/2013,12
10/24/2013,17
10/25/2013,18
10/26/2013,14
10/27/2013,5
10/28/2013,11
10/29/2013,7
10/30/2013,10
10/31/2013,5
11/1/2013,15
11/2/2013,8
11/3/2013,8
11/4/2013,10
11/5/2013,11
11/6/2013,11
11/7/2013,11
11/8/2013,11
11/9/2013,10
11/10/2013,7
11/11/2013,14
11/12/2013,9
11/13/2013,13
11/14/2013,22
11/15/2013,14
11/16/2013,7
11/17/2013,13
11/18/2013,14
11/19/2013,13
11/20/2013,5
11/21/2013,13
11/22/2013,14
11/23/2013,9
11/24/2013,9
11/25/2013,11
11/26/2013,12
11/27/2013,12
11/28/2013,3
11/29/2013,3
11/30/2013,9
12/1/2013,12
12/2/2013,12
12/3/2013,5
12/4/2013,6
12/5/2013,15
12/6/2013,10
12/7/2013,14
12/8/2013,11
12/9/2013,17
12/10/2013,13
12/11/2013,11
12/12/2013,10
12/13/2013,13
12/14/2013,17
12/15/2013,1
12/16/2013,14
12/17/2013,16
12/18/2013,12
12/19/2013,7
12/20/2013,10
12/21/2013,9
12/22/2013,5
12/23/2013,7
12/24/2013,8
12/25/2013,2
12/26/2013,6
12/27/2013,3
12/28/2013,5
12/29/2013,5
12/30/2013,13
12/31/2013,10
1/1/2014,8
1/2/2014,10
1/3/2014,15
1/4/2014,10
1/5/2014,9
1/6/2014,8
1/7/2014,5
1/8/2014,19
1/9/2014,12
1/10/2014,13
1/11/2014,13
1/12/2014,7
1/13/2014,22
1/14/2014,12
1/15/2014,13
1/16/2014,13
1/17/2014,12
1/18/2014,8
1/19/2014,14
1/20/2014,6
1/21/2014,9
1/22/2014,19
1/23/2014,12
1/24/2014,10
1/25/2014,12
1/26/2014,12
1/27/2014,11
1/28/2014,18
1/29/2014,14
1/30/2014,24
1/31/2014,14
2/1/2014,8
2/2/2014,12
2/3/2014,9
2/4/2014,7
2/5/2014,9
2/6/2014,14
2/7/2014,10
2/8/2014,14
2/9/2014,10
2/10/2014,19
2/11/2014,4
2/12/2014,17
2/13/2014,17
2/14/2014,4
2/15/2014,12
2/16/2014,9
2/17/2014,11
2/18/2014,12
2/19/2014,10
2/20/2014,12
2/21/2014,14
2/22/2014,10
2/23/2014,13
2/24/2014,27
2/25/2014,20
2/26/2014,15
2/27/2014,9
2/28/2014,16
3/1/2014,8
3/2/2014,12
3/3/2014,18
3/4/2014,19
3/5/2014,14
3/6/2014,19
3/7/2014,16
3/8/2014,3
3/9/2014,5
3/10/2014,14
3/11/2014,12
3/12/2014,12
3/13/2014,16
3/14/2014,8
3/15/2014,10
3/16/2014,13
3/17/2014,20
3/18/2014,13
